Site Code,Month-Year,Date,FMS Maintenance Availability (Actual),FMS Mean Down Time (Hours),FMS Mean Failure Time (Hours),FMS Mean Time Between Down (Hours),FMS Mean Time Between Failure (Hours),FMS Mean Time To Repair (Hours),FMS Mobile Availability (Actual),FMS Operating Efficiency (Actual),FMS Use of Availability (Actual)
CDA,Aug-2020,2020-08-10 00:00:00,81.32%,5.82,0,25.32,27.52,5.59,89.37%,92.37%,51.77%
CDA,Aug-2020,2020-08-11 00:00:00,78.70%,6.04,0.24392361111111113,22.33,25.12,5.75,87.95%,93.85%,50.61%
CDA,Aug-2020,2020-08-12 00:00:00,71.80%,10.42,1.2296052631578946,26.53,29.32,7.90,84.00%,90.33%,48.48%
CDA,Aug-2020,2020-08-13 00:00:00,76.35%,9.93,2.190590277777778,32.04,38.04,9.79,86.22%,93.52%,51.61%
CDA,Aug-2020,2020-08-14 00:00:00,74.69%,8.23,2.130328282828283,24.30,26.51,7.64,85.55%,93.46%,49.83%
CDA,Aug-2020,2020-08-15 00:00:00,70.80%,8.68,2.8301932367149756,21.05,22.89,7.22,84.13%,92.65%,45.73%
CDA,Aug-2020,2020-08-16 00:00:00,70.39%,9.62,0.11618055555555555,22.87,25.16,8.82,84.53%,93.29%,43.51%
CDA,Aug-2020,2020-08-17 00:00:00,76.58%,7.45,0.0784795321637427,24.35,32.04,7.34,86.39%,92.75%,51.51%
CDA,Aug-2020,2020-08-18 00:00:00,69.75%,10.59,0,24.42,29.30,10.24,81.42%,93.74%,52.61%
CDA,Aug-2020,2020-08-19 00:00:00,68.45%,8.48,0,18.40,22.08,8.12,81.40%,95.06%,49.58%
CDA,Aug-2020,2020-08-20 00:00:00,71.29%,6.29,0.36976053639846745,15.61,18.30,5.62,84.38%,93.25%,45.98%
CDA,Aug-2020,2020-08-21 00:00:00,74.83%,8.98,1.2613734567901236,26.69,28.17,8.89,87.53%,83.63%,42.35%
CDA,Aug-2020,2020-08-22 00:00:00,77.80%,8.90,0.654462962962963,31.20,37.44,8.66,88.29%,86.23%,46.50%
CDA,Aug-2020,2020-08-23 00:00:00,76.41%,9.66,0.48408730158730157,31.28,40.22,8.91,87.29%,90.49%,47.15%
CDA,Aug-2020,2020-08-24 00:00:00,75.27%,8.64,0.5090151515151515,26.30,27.49,7.92,85.48%,92.89%,51.72%
CDA,Aug-2020,2020-08-25 00:00:00,71.73%,9.97,0,25.29,30.35,9.70,86.88%,78.73%,38.30%
CDA,Aug-2020,2020-08-26 00:00:00,69.34%,8.42,0,19.05,22.10,7.68,82.15%,89.29%,49.15%
CDA,Aug-2020,2020-08-27 00:00:00,74.18%,8.36,0,24.01,25.01,8.14,84.73%,93.99%,51.78%
CDA,Aug-2020,2020-08-28 00:00:00,73.91%,7.26,0.12829059829059827,20.56,21.35,6.43,85.67%,90.27%,47.37%
CDA,Aug-2020,2020-08-29 00:00:00,72.05%,8.19,0.5200362318840579,21.10,22.02,7.69,85.62%,92.83%,43.27%
CDA,Aug-2020,2020-08-30 00:00:00,74.65%,6.48,0.20253086419753086,19.09,21.92,6.21,85.30%,94.89%,50.74%
CDA,Aug-2020,2020-08-31 00:00:00,76.53%,8.68,0,28.29,35.37,8.35,87.31%,92.34%,47.38%
CDA,Sep-2020,2020-09-01 00:00:00,73.57%,9.34,0.01990740740740741,26.00,31.78,8.76,84.98%,86.53%,49.21%
CDA,Sep-2020,2020-09-02 00:00:00,73.52%,8.83,0,24.52,28.02,8.09,84.51%,92.31%,50.90%
CDA,Sep-2020,2020-09-03 00:00:00,73.93%,8.02,0,22.75,26.89,7.97,84.75%,94.64%,51.02%
CDA,Sep-2020,2020-09-04 00:00:00,77.08%,7.72,0,25.95,31.71,7.49,87.59%,92.81%,47.64%
CDA,Sep-2020,2020-09-05 00:00:00,77.61%,8.66,0.7367592592592592,30.03,47.54,8.52,87.44%,91.73%,49.77%
CDA,Sep-2020,2020-09-06 00:00:00,77.31%,5.90,0.9390064102564103,20.11,23.21,5.29,87.05%,92.11%,50.67%
CDA,Sep-2020,2020-09-07 00:00:00,74.58%,9.47,2.378090277777778,27.79,34.74,9.16,86.15%,91.78%,47.17%
CDA,Sep-2020,2020-09-08 00:00:00,75.62%,8.26,0.8845833333333332,25.62,32.74,7.94,86.12%,90.11%,50.02%
CDA,Sep-2020,2020-09-09 00:00:00,79.21%,10.53,0,40.14,60.20,10.36,88.45%,95.30%,49.76%
CDA,Sep-2020,2020-09-10 00:00:00,77.31%,8.35,0,28.44,37.33,7.82,87.19%,96.14%,50.08%
CDA,Sep-2020,2020-09-11 00:00:00,78.86%,6.76,0,25.22,30.26,6.06,88.14%,93.81%,50.19%
CDA,Sep-2020,2020-09-12 00:00:00,78.01%,10.12,0,35.92,46.97,9.86,87.41%,94.73%,51.10%
CDA,Sep-2020,2020-09-13 00:00:00,77.55%,12.69,0.13979797979797978,43.85,55.81,12.38,87.01%,93.08%,51.57%
CDA,Sep-2020,2020-09-14 00:00:00,74.83%,10.54,1.3227777777777778,31.32,39.68,10.25,85.37%,91.99%,50.96%
CDA,Sep-2020,2020-09-15 00:00:00,75.60%,8.77,1.207378472222222,27.16,35.65,8.27,86.54%,93.97%,48.17%
CDA,Sep-2020,2020-09-16 00:00:00,81.11%,8.58,0.28647435897435897,36.84,48.17,8.50,89.34%,93.23%,51.24%
CDA,Sep-2020,2020-09-17 00:00:00,74.91%,13.55,0,40.45,50.56,13.46,85.14%,92.57%,52.09%
CDA,Sep-2020,2020-09-18 00:00:00,78.72%,7.38,0,27.28,34.86,7.20,87.60%,92.41%,52.37%
CDA,Sep-2020,2020-09-19 00:00:00,76.12%,7.78,0,24.81,29.77,7.54,86.34%,94.02%,50.41%
CDA,Sep-2020,2020-09-20 00:00:00,73.54%,7.85,0,21.81,24.53,7.69,84.48%,92.43%,51.04%
CDA,Sep-2020,2020-09-21 00:00:00,75.69%,10.62,0,33.06,37.46,10.62,86.80%,94.37%,47.32%
CDA,Sep-2020,2020-09-22 00:00:00,75.23%,7.07,1.804513888888889,21.46,23.25,6.39,86.57%,92.43%,47.12%
CDA,Sep-2020,2020-09-23 00:00:00,73.86%,10.25,3.025864197530864,28.97,30.58,9.98,85.76%,91.18%,46.92%
CDA,Sep-2020,2020-09-24 00:00:00,76.29%,9.31,3.0140432098765433,29.94,31.61,9.25,87.05%,91.54%,47.83%
CDA,Sep-2020,2020-09-25 00:00:00,79.69%,5.78,0.9805072463768115,22.69,25.65,5.43,89.01%,92.86%,48.46%
CDA,Sep-2020,2020-09-26 00:00:00,82.35%,5.47,0,25.52,29.17,4.78,90.40%,91.29%,49.53%
CDA,Sep-2020,2020-09-27 00:00:00,85.22%,5.33,0,30.73,37.96,4.95,91.82%,91.12%,51.38%
CDA,Sep-2020,2020-09-28 00:00:00,78.72%,7.73,0,28.62,35.78,7.42,88.69%,94.87%,47.18%
CDA,Sep-2020,2020-09-29 00:00:00,81.25%,8.33,0,36.12,38.38,7.59,89.64%,93.21%,50.07%
CDA,Sep-2020,2020-09-30 00:00:00,80.83%,6.76,0.30602777777777784,28.49,29.92,6.54,89.63%,93.20%,48.80%
CDA,Oct-2020,2020-10-01 00:00:00,79.24%,7.26,1.4387280701754386,27.72,32.10,6.76,88.32%,93.01%,50.47%
CDA,Oct-2020,2020-10-02 00:00:00,77.13%,8.87,1.5246895424836602,29.93,35.21,8.56,87.03%,94.12%,50.28%
CDA,Oct-2020,2020-10-03 00:00:00,75.55%,8.15,2.047972222222222,25.17,28.95,8.12,86.30%,90.85%,49.04%
CDA,Oct-2020,2020-10-04 00:00:00,76.98%,8.02,1.525,26.81,29.49,7.83,87.11%,94.43%,49.50%
CDA,Oct-2020,2020-10-05 00:00:00,78.73%,7.91,1.263157894736842,29.29,30.83,6.06,88.20%,95.55%,49.52%
CDA,Oct-2020,2020-10-06 00:00:00,81.40%,6.83,1.3333333333333333,29.89,34.87,6.65,89.50%,92.27%,51.34%
CDA,Oct-2020,2020-10-07 00:00:00,75.59%,5.76,1.278508230452675,17.85,19.83,5.63,87.36%,94.95%,44.80%
CDA,Oct-2020,2020-10-08 00:00:00,76.74%,8.02,2.590324074074074,26.46,32.34,7.24,87.10%,92.91%,48.85%
CDA,Oct-2020,2020-10-09 00:00:00,79.18%,8.09,2.7369618055555556,30.77,36.53,6.94,88.76%,94.13%,48.14%
CDA,Oct-2020,2020-10-10 00:00:00,82.63%,5.71,0.35808479532163734,27.19,31.49,5.08,90.81%,92.57%,48.16%
CDA,Oct-2020,2020-10-11 00:00:00,81.68%,6.65,0.13413194444444443,29.64,37.05,6.57,90.28%,95.85%,48.00%
CDA,Oct-2020,2020-10-12 00:00:00,73.96%,7.59,0,21.56,24.50,7.24,86.13%,92.30%,45.75%
CDA,Oct-2020,2020-10-13 00:00:00,70.85%,11.90,0,28.94,32.79,11.32,85.21%,84.80%,42.20%
CDA,Oct-2020,2020-10-14 00:00:00,73.24%,11.87,0,32.50,39.47,11.81,85.25%,86.59%,47.38%
CDA,Oct-2020,2020-10-15 00:00:00,78.01%,8.46,0.011045751633986927,30.00,35.29,8.38,87.64%,90.68%,50.04%
CDA,Oct-2020,2020-10-16 00:00:00,75.11%,12.76,1.5433333333333332,38.53,44.45,12.73,86.00%,91.93%,49.12%
CDA,Oct-2020,2020-10-17 00:00:00,79.92%,9.45,0.04350427350427351,37.60,46.28,9.42,88.95%,90.36%,49.44%
CDA,Oct-2020,2020-10-18 00:00:00,78.94%,8.30,1.551111111111111,31.10,37.32,8.20,89.08%,93.05%,45.94%
CDA,Oct-2020,2020-10-19 00:00:00,81.45%,6.08,0.4778362573099415,26.69,30.90,5.64,89.49%,91.57%,51.57%
CDA,Oct-2020,2020-10-20 00:00:00,78.37%,8.59,0,31.10,36.94,8.06,86.13%,90.36%,58.35%
CDA,Oct-2020,2020-10-21 00:00:00,75.43%,7.64,0,23.46,31.29,7.22,84.41%,87.81%,56.74%
CDA,Oct-2020,2020-10-22 00:00:00,76.68%,5.44,0,17.90,19.69,5.21,84.73%,93.74%,59.27%
CDA,Oct-2020,2020-10-23 00:00:00,77.81%,9.62,0.85,33.72,40.47,8.57,85.28%,94.02%,60.53%
CDA,Oct-2020,2020-10-24 00:00:00,79.09%,7.81,2.9047569444444443,29.53,36.91,7.66,86.72%,92.54%,57.91%
CDA,Oct-2020,2020-10-25 00:00:00,77.48%,6.24,2.086147342995169,21.45,23.32,5.71,86.74%,92.24%,52.57%
CDA,Oct-2020,2020-10-26 00:00:00,78.91%,10.76,2.2677314814814813,40.25,46.96,9.17,87.19%,90.66%,54.96%
CDA,Oct-2020,2020-10-27 00:00:00,78.60%,7.76,2.1223856209150327,28.49,31.85,7.05,87.47%,91.82%,52.63%
CDA,Oct-2020,2020-10-28 00:00:00,79.00%,6.28,0.27093055555555556,23.63,29.54,5.66,86.64%,91.09%,57.99%
CDA,Oct-2020,2020-10-29 00:00:00,81.77%,6.00,0.0579320987654321,26.92,32.90,5.85,88.78%,90.34%,56.72%
CDA,Oct-2020,2020-10-30 00:00:00,81.94%,5.83,0,26.44,33.79,5.60,88.60%,90.68%,58.37%
CDA,Oct-2020,2020-10-31 00:00:00,84.11%,7.33,0.2607051282051282,38.80,47.76,7.08,90.02%,91.91%,58.64%
CDA,Nov-2020,2020-11-01 00:00:00,80.17%,8.20,2.475648148148148,33.16,37.58,8.07,88.15%,91.99%,54.38%
CDA,Nov-2020,2020-11-02 00:00:00,74.73%,11.87,5.544107142857143,35.11,40.12,11.77,84.18%,91.71%,55.61%
CDA,Nov-2020,2020-11-03 00:00:00,74.70%,8.89,2.503858024691358,26.25,30.63,7.78,84.44%,94.74%,54.41%
CDA,Nov-2020,2020-11-04 00:00:00,74.52%,9.86,4.367916666666667,28.84,32.45,9.65,85.20%,92.80%,50.77%
CDA,Nov-2020,2020-11-05 00:00:00,75.15%,7.43,0.7813510101010102,22.47,24.52,7.03,85.09%,92.58%,53.01%
CDA,Nov-2020,2020-11-06 00:00:00,78.54%,7.92,0,28.99,34.42,7.62,87.46%,92.45%,52.48%
CDA,Nov-2020,2020-11-07 00:00:00,82.10%,6.27,0,28.76,40.27,6.14,89.03%,89.06%,56.54%
CDA,Nov-2020,2020-11-08 00:00:00,80.35%,10.38,2.006222222222222,42.44,59.41,10.07,87.90%,95.80%,56.33%
CDA,Nov-2020,2020-11-09 00:00:00,79.37%,9.52,3.821527777777778,36.63,48.84,9.43,87.31%,92.50%,55.94%
CDA,Nov-2020,2020-11-10 00:00:00,77.80%,6.77,2.1766959064327485,23.72,28.72,6.44,87.14%,91.69%,51.72%
CDA,Nov-2020,2020-11-11 00:00:00,71.77%,8.37,3.7245777777777778,21.28,22.13,7.86,81.49%,92.95%,57.75%
CDA,Nov-2020,2020-11-12 00:00:00,81.31%,7.30,2.5642962962962965,31.77,40.24,7.08,88.20%,91.17%,58.19%
CDA,Nov-2020,2020-11-13 00:00:00,76.98%,6.32,0.7548032407407407,21.13,22.02,5.99,86.57%,93.51%,51.90%
CDA,Nov-2020,2020-11-14 00:00:00,76.63%,7.57,0,24.82,27.31,7.15,85.84%,94.28%,54.10%
CDA,Nov-2020,2020-11-15 00:00:00,82.47%,5.58,0,26.26,32.10,5.40,89.56%,93.98%,54.86%
CDA,Nov-2020,2020-11-16 00:00:00,78.51%,7.17,0.8166840277777778,26.19,36.02,6.44,86.58%,92.30%,56.59%
CDA,Nov-2020,2020-11-17 00:00:00,77.92%,8.66,2.4951666666666665,30.58,38.73,8.09,86.00%,93.71%,57.44%
CDA,Nov-2020,2020-11-18 00:00:00,68.40%,10.26,3.8143672839506175,22.22,27.16,9.14,80.80%,94.99%,51.44%
CDA,Nov-2020,2020-11-19 00:00:00,70.98%,10.55,2.6903703703703705,25.81,30.11,9.80,81.16%,96.02%,56.79%
CDA,Nov-2020,2020-11-20 00:00:00,82.81%,6.00,0.5489542483660131,28.91,34.01,5.69,89.79%,91.81%,54.75%
CDA,Nov-2020,2020-11-21 00:00:00,82.15%,5.27,0,24.26,30.64,4.83,89.24%,89.74%,55.48%
CDA,Nov-2020,2020-11-22 00:00:00,77.78%,5.63,0,19.70,22.85,5.36,86.10%,89.99%,56.51%
CDA,Nov-2020,2020-11-23 00:00:00,80.25%,6.89,0,27.98,34.98,6.04,88.23%,93.28%,54.22%
CDA,Nov-2020,2020-11-24 00:00:00,82.72%,11.13,0.6615277777777777,53.28,73.26,8.88,89.59%,93.58%,55.63%
CDA,Nov-2020,2020-11-25 00:00:00,78.38%,8.72,0.008537037037037037,31.62,42.15,6.50,85.47%,94.51%,61.65%
CDA,Nov-2020,2020-11-26 00:00:00,81.38%,10.07,1.0929545454545455,43.99,55.98,9.45,88.26%,90.94%,58.14%
CDA,Nov-2020,2020-11-27 00:00:00,75.79%,15.69,5.213402777777778,49.11,73.67,15.68,84.31%,94.33%,58.25%
CDA,Nov-2020,2020-11-28 00:00:00,79.89%,7.43,0.27602941176470586,29.53,36.47,6.54,86.99%,93.43%,59.40%
CDA,Nov-2020,2020-11-29 00:00:00,81.47%,4.98,0,21.89,24.51,4.43,88.38%,93.88%,57.80%
CDA,Nov-2020,2020-11-30 00:00:00,84.64%,6.74,0,37.11,45.06,5.84,90.46%,93.77%,58.12%
CDA,Dec-2020,2020-12-01 00:00:00,82.73%,4.47,0,21.42,23.07,3.92,89.57%,93.59%,55.80%
CDA,Dec-2020,2020-12-02 00:00:00,81.53%,7.29,0.10464285714285715,32.20,43.70,6.42,88.45%,93.01%,57.64%
CDA,Dec-2020,2020-12-03 00:00:00,75.48%,9.00,3.331584967320261,27.69,34.20,7.77,84.26%,91.45%,57.50%
CDA,Dec-2020,2020-12-04 00:00:00,81.65%,8.28,0.288968253968254,36.85,44.75,7.61,88.27%,86.03%,59.14%
CDA,Dec-2020,2020-12-05 00:00:00,86.69%,6.80,0.6147727272727272,44.30,60.41,6.59,91.50%,92.83%,60.53%
CDA,Dec-2020,2020-12-06 00:00:00,85.35%,4.77,0.29581871345029237,27.81,33.67,4.72,90.85%,87.85%,58.67%
CDA,Dec-2020,2020-12-07 00:00:00,82.99%,5.26,0.16530555555555554,25.67,30.81,5.01,89.68%,90.82%,56.13%
CDA,Dec-2020,2020-12-08 00:00:00,76.14%,6.64,0,21.20,22.89,6.32,85.35%,94.36%,54.79%
CDA,Dec-2020,2020-12-09 00:00:00,77.20%,7.65,0,25.91,28.38,7.49,85.62%,91.85%,56.87%
CDA,Dec-2020,2020-12-10 00:00:00,78.32%,6.27,0.5285555555555556,22.65,23.56,6.19,86.69%,94.75%,55.50%
CDA,Dec-2020,2020-12-11 00:00:00,79.68%,6.58,2.2191269841269836,25.78,28.23,5.62,87.64%,94.90%,55.27%
CDA,Dec-2020,2020-12-12 00:00:00,81.94%,7.45,2.6353472222222223,33.80,38.03,5.86,89.04%,94.90%,55.82%
CDA,Dec-2020,2020-12-13 00:00:00,84.77%,4.65,1.551361111111111,25.86,29.74,3.53,91.27%,91.65%,53.25%
CDA,Dec-2020,2020-12-14 00:00:00,83.40%,5.61,2.377375,28.18,29.59,4.90,90.38%,90.28%,53.50%
CDA,Dec-2020,2020-12-15 00:00:00,76.20%,4.62,0.21914285714285714,14.79,16.06,4.37,85.65%,88.46%,53.62%
CDA,Dec-2020,2020-12-16 00:00:00,80.53%,5.30,0.3580787037037037,21.92,23.75,4.38,88.74%,91.31%,52.48%
CDA,Dec-2020,2020-12-17 00:00:00,77.04%,7.37,0,24.72,28.25,6.49,85.55%,94.41%,56.65%
CDA,Dec-2020,2020-12-18 00:00:00,79.76%,8.47,0.7201388888888889,33.38,37.55,8.06,87.54%,94.07%,56.07%
CDA,Dec-2020,2020-12-19 00:00:00,77.18%,8.17,1.3312865497076023,27.64,32.01,7.63,85.31%,93.05%,58.24%
CDA,Dec-2020,2020-12-20 00:00:00,75.31%,6.16,2.052579365079365,18.79,20.81,5.32,84.39%,94.48%,56.41%
CDA,Dec-2020,2020-12-21 00:00:00,80.52%,6.86,2.4860620915032676,28.35,36.69,6.62,87.63%,94.50%,58.35%
CDA,Dec-2020,2020-12-22 00:00:00,73.17%,8.21,1.0636944444444443,22.40,28.01,7.19,83.17%,89.45%,55.19%
CDA,Dec-2020,2020-12-23 00:00:00,81.95%,6.55,0,29.75,45.77,6.22,89.29%,89.70%,54.44%
CDA,Dec-2020,2020-12-24 00:00:00,84.93%,5.26,0,29.64,36.62,4.92,90.98%,92.31%,55.91%
CDA,Dec-2020,2020-12-25 00:00:00,85.56%,3.61,0,21.40,23.87,3.33,91.41%,93.11%,55.69%
CDA,Dec-2020,2020-12-26 00:00:00,85.05%,6.22,0.2752777777777778,35.39,42.47,6.08,90.85%,96.11%,57.28%
CDA,Dec-2020,2020-12-27 00:00:00,83.72%,5.04,1.1098677248677247,25.93,29.63,4.59,90.11%,93.54%,56.42%
CDA,Dec-2020,2020-12-28 00:00:00,83.92%,5.98,2.2724007936507937,31.22,42.37,5.76,90.71%,93.01%,53.42%
CDA,Dec-2020,2020-12-29 00:00:00,81.94%,6.53,1.1774479166666667,29.61,37.01,6.04,89.34%,93.87%,54.15%
CDA,Dec-2020,2020-12-30 00:00:00,83.45%,4.40,1.0483964646464647,22.19,28.24,4.32,89.94%,96.06%,56.44%
CDA,Dec-2020,2020-12-31 00:00:00,85.55%,4.36,0.8089814814814815,25.82,29.50,4.21,91.45%,91.26%,55.35%
CDA,Jan-2021,2021-01-01 00:00:00,87.09%,3.96,0,26.74,32.37,3.81,92.55%,94.22%,54.28%
CDA,Jan-2021,2021-01-02 00:00:00,88.33%,5.29,0,40.06,53.42,5.07,93.08%,90.09%,56.26%
CDA,Jan-2021,2021-01-03 00:00:00,85.85%,7.15,1.4961363636363636,43.37,55.20,6.49,91.82%,92.31%,54.02%
CDA,Jan-2021,2021-01-04 00:00:00,82.03%,7.66,3.035555555555555,34.97,42.46,6.69,89.36%,92.33%,54.35%
CDA,Jan-2021,2021-01-05 00:00:00,81.13%,7.98,1.3247685185185185,34.33,51.49,7.19,88.26%,92.40%,57.19%
CDA,Jan-2021,2021-01-06 00:00:00,73.54%,8.66,3.4485956790123455,24.05,30.73,8.14,83.74%,91.27%,53.98%
CDA,Jan-2021,2021-01-07 00:00:00,78.82%,7.72,4.410308641975309,28.74,33.53,7.31,86.75%,92.45%,56.84%
CDA,Jan-2021,2021-01-08 00:00:00,75.90%,8.12,1.938371212121212,25.57,29.05,8.03,83.42%,92.81%,62.60%
CDA,Jan-2021,2021-01-09 00:00:00,80.01%,7.40,1.3333333333333333,29.60,36.17,6.68,86.71%,92.80%,61.35%
CDA,Jan-2021,2021-01-10 00:00:00,80.13%,6.69,0.35714912280701755,26.98,31.25,6.31,87.98%,94.39%,55.13%
CDA,Jan-2021,2021-01-11 00:00:00,79.10%,8.93,0.6786111111111112,33.81,42.82,8.78,86.13%,92.04%,60.93%
CDA,Jan-2021,2021-01-12 00:00:00,76.22%,6.86,1.7946222222222223,21.98,24.62,6.69,84.31%,91.87%,59.64%
CDA,Jan-2021,2021-01-13 00:00:00,74.96%,8.50,3.1499735449735446,25.46,27.89,8.08,84.02%,94.11%,56.94%
CDA,Jan-2021,2021-01-14 00:00:00,79.39%,7.38,3.2237037037037037,28.44,34.77,7.36,86.73%,89.76%,58.95%
CDA,Jan-2021,2021-01-15 00:00:00,75.04%,8.66,2.8597549019607844,26.05,33.71,7.68,84.43%,85.94%,55.45%
CDA,Jan-2021,2021-01-16 00:00:00,78.87%,5.25,0.7047222222222222,19.59,21.77,4.84,87.14%,92.49%,55.11%
CDA,Jan-2021,2021-01-17 00:00:00,77.51%,7.07,0,24.37,27.70,6.38,85.55%,91.62%,58.19%
CDA,Jan-2021,2021-01-18 00:00:00,83.38%,7.41,0,37.15,45.73,7.27,90.32%,88.83%,53.77%
CDA,Jan-2021,2021-01-19 00:00:00,84.56%,4.96,0.009375,27.15,37.33,4.79,91.09%,90.57%,53.57%
CDA,Jan-2021,2021-01-20 00:00:00,81.94%,8.14,1.2955555555555556,36.94,53.74,7.91,89.36%,88.61%,54.04%
CDA,Jan-2021,2021-01-21 00:00:00,82.05%,7.32,1.1172962962962962,33.43,42.35,6.65,88.86%,90.55%,57.28%
CDA,Jan-2021,2021-01-22 00:00:00,85.51%,5.60,0.8719444444444445,33.03,41.84,4.63,91.48%,93.50%,54.98%
CDA,Jan-2021,2021-01-23 00:00:00,81.75%,7.25,0.15337301587301586,32.49,44.10,5.64,88.96%,91.14%,55.61%
CDA,Jan-2021,2021-01-24 00:00:00,85.32%,4.43,0,25.73,27.97,3.77,91.13%,91.90%,56.56%
CDA,Jan-2021,2021-01-25 00:00:00,80.44%,6.04,0,24.85,28.24,5.69,87.90%,91.03%,56.63%
CDA,Jan-2021,2021-01-26 00:00:00,78.89%,6.19,0,23.11,26.12,6.07,87.11%,93.40%,55.26%
CDA,Jan-2021,2021-01-27 00:00:00,72.26%,8.70,0.3870972222222222,22.65,27.18,8.48,83.27%,96.09%,52.31%
CDA,Jan-2021,2021-01-28 00:00:00,77.55%,6.56,0.6307323232323232,22.67,27.82,6.39,85.80%,91.29%,57.16%
CDA,Jan-2021,2021-01-29 00:00:00,81.38%,6.84,0.5506770833333333,29.88,39.22,5.19,88.50%,92.54%,56.81%
CDA,Jan-2021,2021-01-30 00:00:00,78.76%,6.31,1.2910694444444446,23.40,30.42,4.29,86.86%,94.54%,56.12%
CDA,Jan-2021,2021-01-31 00:00:00,81.39%,5.21,0.85506038647343,22.78,25.75,4.68,89.13%,94.13%,53.32%
CDA,Feb-2021,2021-02-01 00:00:00,85.09%,4.29,0.22833333333333333,24.51,29.18,4.12,91.40%,92.35%,53.73%
CDA,Feb-2021,2021-02-02 00:00:00,83.45%,4.94,0,24.93,29.68,4.88,90.10%,89.49%,55.43%
CDA,Feb-2021,2021-02-03 00:00:00,75.91%,6.65,0,20.95,25.51,5.95,85.07%,91.42%,55.33%
CDA,Feb-2021,2021-02-04 00:00:00,78.80%,6.52,0.09047222222222222,24.24,31.51,5.57,86.42%,89.01%,58.43%
CDA,Feb-2021,2021-02-05 00:00:00,73.16%,8.98,0.7725132275132276,24.48,27.98,8.01,82.73%,94.09%,56.91%
CDA,Feb-2021,2021-02-06 00:00:00,76.23%,8.56,1.8248684210526316,27.46,31.80,8.36,84.91%,90.89%,57.01%
CDA,Feb-2021,2021-02-07 00:00:00,74.38%,5.61,1.2035823754789272,16.29,19.10,5.11,84.71%,94.32%,52.40%
CDA,Feb-2021,2021-02-08 00:00:00,76.23%,6.15,2.2513194444444444,19.72,22.19,5.44,86.70%,91.04%,49.22%
CDA,Feb-2021,2021-02-09 00:00:00,83.33%,3.38,1.7413174603174602,16.89,18.34,3.09,89.71%,88.20%,57.33%
CDA,Feb-2021,2021-02-10 00:00:00,77.08%,4.51,2,15.15,15.99,4.33,86.28%,83.99%,53.47%
CDA,Feb-2021,2021-02-11 00:00:00,79.73%,3.60,1.3413961988304093,14.16,16.03,3.44,87.59%,88.58%,55.71%
CDA,Feb-2021,2021-02-12 00:00:00,82.88%,4.88,1.8461538461538463,23.62,25.44,4.67,89.05%,92.53%,59.52%
CDA,Feb-2021,2021-02-13 00:00:00,83.90%,5.38,2.2958574879227056,28.04,29.26,4.91,89.65%,92.18%,60.15%
CDA,Feb-2021,2021-02-14 00:00:00,83.58%,7.56,3.1518300653594773,38.47,42.99,6.54,88.49%,89.56%,66.18%
CDA,Feb-2021,2021-02-15 00:00:00,80.25%,7.51,4.008270202020202,30.49,31.88,5.95,86.17%,89.45%,65.22%
CDA,Feb-2021,2021-02-16 00:00:00,78.30%,5.78,4.075303819444445,20.86,20.86,4.76,85.17%,91.21%,62.80%
CDA,Feb-2021,2021-02-17 00:00:00,81.43%,6.57,4.015088383838384,28.82,30.13,6.47,87.89%,89.97%,60.43%
CDA,Feb-2021,2021-02-18 00:00:00,83.72%,5.89,2.1818181818181817,30.30,33.06,5.49,88.67%,90.27%,65.73%
CDA,Feb-2021,2021-02-19 00:00:00,83.86%,4.53,1.7142857142857142,23.54,24.38,4.29,89.47%,88.51%,61.13%
CDA,Feb-2021,2021-02-20 00:00:00,84.79%,4.06,1.2131584362139918,22.64,25.99,3.68,89.90%,89.64%,62.60%
CDA,Feb-2021,2021-02-21 00:00:00,86.55%,5.68,2.3984876543209874,36.53,38.56,5.23,91.36%,91.12%,60.88%
CDA,Feb-2021,2021-02-22 00:00:00,87.39%,6.57,1.605537037037037,45.53,45.53,6.03,92.10%,90.35%,59.42%
CDA,Feb-2021,2021-02-23 00:00:00,85.06%,6.06,2.5980246913580247,34.52,38.35,5.28,90.29%,90.32%,61.27%
CDA,Feb-2021,2021-02-24 00:00:00,77.25%,7.71,3.5159090909090907,26.19,27.38,7.47,85.79%,83.00%,56.26%
CDA,Feb-2021,2021-02-25 00:00:00,82.73%,6.54,2.237513888888889,31.32,31.32,6.41,89.52%,91.48%,56.06%
CDA,Feb-2021,2021-02-26 00:00:00,85.81%,4.48,1.0509953703703703,27.12,28.25,4.11,91.02%,90.06%,59.68%
CDA,Feb-2021,2021-02-27 00:00:00,83.72%,5.19,1,26.71,27.82,4.89,89.60%,89.03%,59.71%
CDA,Feb-2021,2021-02-28 00:00:00,88.81%,4.66,1.6140032679738563,36.98,39.15,4.11,93.35%,92.63%,56.59%
CDA,Mar-2021,2021-03-01 00:00:00,81.77%,7.01,3.4457456140350877,31.42,34.73,5.69,88.43%,88.93%,58.66%
CDA,Mar-2021,2021-03-02 00:00:00,81.55%,5.67,3.9261250000000003,25.06,32.58,5.46,88.41%,91.61%,57.94%
CDA,Mar-2021,2021-03-03 00:00:00,80.76%,8.97,7.482962962962962,37.65,53.34,8.70,88.01%,90.84%,57.17%
CDA,Mar-2021,2021-03-04 00:00:00,81.24%,8.82,6.10093253968254,38.21,43.66,8.09,88.90%,92.66%,54.06%
